"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3304","Verify login with invalid credential","Mobile","Sat May 03 11:31:01 IST 2025","passed","Sat May 03 11:31:05 IST 2025","","LoginVerification.spec.js","",""
"","9854","Verify Login with valid Credential","firefox","Sat May 03 11:30:43 IST 2025","passed","Sat May 03 11:30:53 IST 2025","","LoginVerification.spec.js","",""
"","2968","Verify Login with valid Credential","chromium","Sat May 03 12:08:28 IST 2025","passed","Sat May 03 12:08:31 IST 2025","","LoginVerification.spec.js","",""
"","13287","Verify login with invalid credential","firefox","Sat May 03 11:30:43 IST 2025","passed","Sat May 03 11:30:57 IST 2025","","LoginVerification.spec.js","",""
"","2636","Verify login with invalid credential @smoke","chromium","Sat May 03 12:08:28 IST 2025","passed","Sat May 03 12:08:31 IST 2025","","LoginVerification.spec.js","",""
"","3935","Verify Login with valid Credential","webkit","Sat May 03 11:30:53 IST 2025","passed","Sat May 03 11:30:57 IST 2025","","LoginVerification.spec.js","",""
"","1988","Verify login with invalid credential @smoke, @regression","chromium","Sat May 03 12:09:21 IST 2025","passed","Sat May 03 12:09:23 IST 2025","","LoginVerification.spec.js","",""
"","3231","Verify Login with valid Credential","Mobile","Sat May 03 11:31:01 IST 2025","passed","Sat May 03 11:31:04 IST 2025","","LoginVerification.spec.js","",""
"","3391","Verify login with invalid credential","chromium","Sat May 03 11:30:43 IST 2025","passed","Sat May 03 11:30:47 IST 2025","","LoginVerification.spec.js","",""
"","3657","Verify login with invalid credential","webkit","Sat May 03 11:30:53 IST 2025","passed","Sat May 03 11:30:57 IST 2025","","LoginVerification.spec.js","",""
